BAN,ContactID
925413031,CO2101012071
925413049,CO2101012073
925413072,CO2101012075
925413080,CO2101012077
925413098,CO2101012078
925413122,CO2101012081
925413338,CO2101012114
925413361,CO2101012072
925413445,CO2101012075
925415101,CO2101012295
925418329,CO2101012649
925418386,CO2101012656
925418410,CO2101012659
925418428,CO2101012661
925418436,CO2101012663
925418451,CO2101012666
925421976,CO2101013142
925421984,CO2101013143
925421992,CO2101013144
925422008,CO2101013146
925422024,CO2101013149
925422073,CO2101013155
925422123,CO2101013161
925422149,CO2101013162
925422156,CO2101013164
925422180,CO2101013167
